m_eR	m_eR-m_DM
98.739	8.777
99.375	8.566
99.895	8.338
100.311	8.117
100.725	7.871
100.938	7.581
100.940	7.227
100.942	6.984
100.625	6.705
100.060	6.498
99.518	6.280
98.899	6.112
98.151	5.903
97.408	5.744
