#: table_doi: 10.17182/hepdata.63216.v1/t111
#: name: Table 111
#: description: Total systematic uncertainty IN PCT on signal yields in Fig. 08a.

#: data_file: Table111.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give total error [PCT]
309.0,135.0,12.18927
311.0,90.0,21.01612
311.0,210.0,17.06474
313.0,45.0,8.623326
313.0,165.0,9.563807
315.0,0.0,16.79458
315.0,120.0,20.30901
317.0,75.0,10.11321
317.0,195.0,17.52589
319.0,30.0,13.38581
319.0,150.0,12.64989
321.0,105.0,11.88549
322.0,60.0,20.76416
322.0,180.0,14.48424
324.0,15.0,10.46235
324.0,135.0,11.59948
326.0,90.0,13.65171
326.0,210.0,9.816684
328.0,45.0,14.37504
328.0,165.0,9.465001
330.0,0.0,12.65398
330.0,120.0,12.99188
332.0,75.0,13.6204
332.0,195.0,10.51023
334.0,30.0,12.48119
334.0,150.0,14.03055
336.0,105.0,11.26347
338.0,60.0,10.4634
338.0,180.0,13.52194
339.0,15.0,16.77338
339.0,135.0,4.165282
341.0,90.0,12.81226
341.0,210.0,0.0
343.0,45.0,12.77975
343.0,165.0,10.12187
345.0,0.0,11.03485
345.0,120.0,8.092394
347.0,75.0,8.313139
347.0,195.0,8.45443
349.0,30.0,13.52522
349.0,150.0,11.60791
351.0,105.0,13.63441
352.0,60.0,16.13849
352.0,180.0,11.08522
354.0,15.0,8.502682
354.0,135.0,7.423331
356.0,90.0,15.63558
356.0,210.0,12.68252
358.0,45.0,6.013272
358.0,165.0,7.43628
360.0,0.0,14.77682
360.0,120.0,16.33747
362.0,75.0,9.128031
362.0,195.0,8.03788
364.0,30.0,11.17204
364.0,150.0,16.24952
366.0,105.0,8.690408
368.0,60.0,18.16994
368.0,180.0,17.5817
368.0,180.0,17.5817

