#: table_doi: 10.17182/hepdata.63216.v1/t105
#: name: Table 105
#: description: Efficiency IN PCT in Fig. 08a.

#: data_file: Table105.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Efficiency [PCT]
247.8,69.8,48.82376
247.8,109.8,50.37515
247.8,149.8,40.98023
247.8,189.8,nan
251.8,19.8,56.36342
251.8,59.8,55.40241
251.8,99.8,44.40421
251.8,139.8,52.27471
251.8,179.8,96.1564
254.7,9.8,49.67896
254.7,49.8,44.01358
254.7,89.8,52.85356
254.7,129.8,51.58615
254.7,169.8,54.54557
258.7,0.2,51.67099
258.7,39.8,61.62124
258.7,79.8,63.22529
258.7,119.8,52.34357
258.7,159.8,64.67286
258.7,199.8,nan
262.6,29.8,54.06349
262.6,69.8,48.13667
262.6,109.8,56.86499
262.6,149.8,57.69854
262.6,189.8,102.6843
265.6,19.8,51.36406
265.6,59.8,56.93851
265.6,99.8,45.68157
265.6,139.8,59.42098
265.6,179.8,67.1508
269.5,9.8,55.25031
269.5,49.8,60.62081
269.5,89.8,50.36089
269.5,129.8,53.15198
269.5,169.8,62.14846
273.5,0.2,47.82643
273.5,39.8,57.78278
273.5,79.8,55.20385
273.5,119.8,56.88069
273.5,159.8,56.40896
273.5,199.8,46.31165
277.4,29.8,48.30972
277.4,69.8,54.87001
277.4,109.8,58.89395
277.4,149.8,51.80361
277.4,189.8,66.14291
281.4,19.8,58.31397
281.4,59.8,47.59791
281.4,99.8,55.3153
281.4,139.8,54.48932
281.4,179.8,60.03188
281.4,179.8,52.23341
284.3,49.8,48.01994
284.3,89.8,52.81333
284.3,129.8,58.54439
284.3,169.8,55.5108
288.3,0.2,51.83218
288.3,39.8,49.44925
288.3,79.8,62.40066
288.3,119.8,52.03679
288.3,159.8,47.38673
288.3,199.8,55.23703
292.3,29.8,61.02829
292.3,69.8,50.3762
292.3,109.8,53.37684
292.3,149.8,62.13926
292.3,189.8,54.95594
295.2,19.8,53.42379
295.2,59.8,50.26611
295.2,99.8,47.90528
295.2,139.8,51.33235
295.2,179.8,56.3123
299.2,9.8,49.0658
299.2,49.8,53.81623
299.2,89.8,49.67811
299.2,129.8,56.69201
299.2,169.8,63.45274
303.1,0.2,47.61744
303.1,39.8,55.08591
303.1,79.8,52.64981
303.1,119.8,55.21524
303.1,159.8,51.96179
303.1,199.8,58.68673
240.0,209.8,nan
254.7,209.8,nan
269.5,209.8,nan
284.3,209.8,41.04571
299.2,209.8,48.1392
305.1,74.8,51.95814
305.1,194.8,58.64088
307.1,29.8,49.59667
307.1,149.8,55.19292
309.1,104.8,46.92402
311.1,59.8,50.43016
