#: table_doi: 10.17182/hepdata.63216.v1/t72
#: name: Table 72
#: description: Observed CLs values for Fig. 08b.

#: data_file: Table72.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give CL_{S} values
299.7,169.8,0.06327176
303.6,0.0,0.05544975
303.6,39.8,0.05413855
303.6,119.8,0.1127334
303.6,159.8,0.05603752
240.6,209.8,0.0
255.3,209.8,0.0
270.1,209.8,0.0
284.9,209.8,0.0
299.7,209.8,0.0
305.6,74.8,0.07404077
305.6,194.8,0.2034699
307.6,29.8,0.04184107
307.6,149.8,0.04390968
309.5,104.8,0.08882025
311.5,59.8,0.08890136
311.5,179.8,0.1263128
312.5,14.8,0.07535484
312.5,134.8,0.1644537
314.5,89.8,0.09745755
314.5,209.8,0.0
316.5,44.8,0.08064365
316.5,164.8,0.0721704
318.4,0.0,0.1106532
318.4,119.8,0.1194049
320.4,74.8,0.1174468
320.4,194.8,0.2007155
322.4,29.8,0.1104971
322.4,149.8,0.06932095
324.4,104.8,0.1712189
325.4,59.8,0.1195968
325.4,179.8,0.1305079
327.4,14.8,0.1224863
327.4,134.8,0.1705102
329.3,89.8,0.1439891
329.3,209.8,0.0
331.3,44.8,0.1369797
331.3,164.8,0.1307224
333.3,0.0,0.139506
333.3,119.8,0.2021159
335.3,74.8,0.1581277
335.3,194.8,0.2269972
337.3,29.8,0.1730557
337.3,149.8,0.2861655
339.2,104.8,0.1889061
341.2,59.8,0.1431322
341.2,179.8,0.2186792
342.2,14.8,0.1434779
342.2,134.8,0.2524055
344.2,89.8,0.1986436
344.2,209.8,0.0
346.2,44.8,0.2210623
346.2,164.8,0.3861384
348.2,0.0,0.1467874
348.2,119.8,0.2524016
350.1,74.8,0.257488
350.1,194.8,0.2548343
352.1,29.8,0.2484932
352.1,149.8,0.3081684
354.1,104.8,0.2852567
355.1,59.8,0.2420563
355.1,179.8,0.387082
357.1,14.8,0.2186738
357.1,134.8,0.3342957
359.1,89.8,0.2692613
359.1,209.8,0.0
361.0,44.8,0.2587139
361.0,164.8,0.3690604
363.0,0.0,0.2951627
363.0,119.8,0.323525
365.0,74.8,0.3413749
365.0,194.8,0.4517022
367.0,29.8,0.3305595
367.0,149.8,0.4041368
369.0,104.8,0.3293973
371.0,59.8,0.3330619
371.0,179.8,0.4544328
371.0,179.8,0.4544328

