#: table_doi: 10.17182/hepdata.63216.v1/t89
#: name: Table 89
#: description: Number of events generated for Fig. 08c.

#: data_file: Table89.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Number of Generated Events
314.0,89.8,4913.0
314.0,209.8,4955.0
316.0,44.8,4610.0
316.0,164.8,4929.0
318.0,0.2,3843.0
318.0,119.8,4906.0
320.0,74.8,4873.0
320.0,194.8,4942.0
321.9,29.8,4151.0
321.9,149.8,4924.0
323.9,104.8,4900.0
324.9,59.8,4868.0
324.9,179.8,3952.0
326.9,14.8,3707.0
326.9,134.8,4902.0
328.9,89.8,4894.0
328.9,209.8,4943.0
330.9,44.8,4503.0
330.9,164.8,4911.0
332.9,0.2,3609.0
332.9,119.8,4882.0
334.8,74.8,4848.0
334.8,194.8,4912.0
336.8,29.8,3965.0
336.8,149.8,4886.0
338.8,104.8,3898.0
340.8,59.8,4814.0
340.8,179.8,4908.0
341.8,14.8,3600.0
341.8,134.8,4883.0
343.8,89.8,4834.0
345.7,44.8,4382.0
345.7,164.8,4892.0
347.7,0.2,3425.0
347.7,119.8,4869.0
349.7,74.8,4808.0
349.7,194.8,4917.0
351.7,29.8,3792.0
351.7,149.8,4878.0
353.7,104.8,4805.0
354.7,59.8,4794.0
354.7,179.8,4910.0
356.7,14.8,3296.0
356.7,134.8,4875.0
358.6,89.8,4796.0
358.6,209.8,4897.0
360.6,44.8,4279.0
360.6,164.8,4870.0
362.6,0.2,3076.0
362.6,119.8,4842.0
364.6,74.8,4804.0
364.6,194.8,4904.0
366.6,29.8,3582.0
366.6,149.8,4846.0
368.6,104.8,4795.0
370.6,59.8,4729.0
370.6,179.8,4864.0
371.6,14.8,3163.0
371.6,134.8,4825.0

