#: table_doi: 10.17182/hepdata.63216.v1/t71
#: name: Table 71
#: description: Observed CLs values for Fig. 08a.

#: data_file: Table71.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give CL_{S} values
240.0,209.8,0.0
254.7,209.8,0.0
269.5,209.8,0.0
284.3,209.8,0.0
299.2,209.8,0.0
305.1,74.8,0.4376267
305.1,194.8,0.5245958
307.1,29.8,0.406404
307.1,149.8,0.5432006
309.1,104.8,0.53611
311.1,59.8,0.4412594
311.1,179.8,0.4803219
312.0,14.8,0.4509782
312.0,134.8,0.5150843
314.0,89.8,0.5714531
314.0,209.8,0.0
316.0,44.8,0.40696
316.0,164.8,0.4755172
318.0,0.0,0.5642644
318.0,119.8,0.6110334
320.0,74.8,0.4760373
320.0,194.8,0.5423263
321.9,29.8,0.4419039
321.9,149.8,0.4202019
323.9,104.8,0.5754272
324.9,59.8,0.5328755
324.9,179.8,0.4144708
326.9,14.8,0.4888529
326.9,134.8,0.6216131
328.9,89.8,0.56584
328.9,209.8,0.0
330.9,44.8,0.547516
330.9,164.8,0.4433502
332.9,0.0,0.5494983
332.9,119.8,0.6264395
334.8,74.8,0.5682616
334.8,194.8,0.4941271
336.8,29.8,0.5122229
336.8,149.8,0.6806707
338.8,104.8,0.5992583
340.8,59.8,0.5346907
340.8,179.8,0.5289028
341.8,14.8,0.5919234
341.8,134.8,0.7074119
343.8,89.8,0.6122079
343.8,209.8,0.0
345.7,44.8,0.5856331
345.7,164.8,0.6803923
347.7,0.0,0.6285199
347.7,119.8,0.6297771
349.7,74.8,0.635367
349.7,194.8,0.7897756
351.7,29.8,0.6744229
351.7,149.8,0.7167597
353.7,104.8,0.6859005
354.7,59.8,0.6611345
354.7,179.8,0.7459045
356.7,14.8,0.67817
356.7,134.8,0.6808774
358.6,89.8,0.6747252
358.6,209.8,0.0
360.6,44.8,0.5919747
360.6,164.8,0.7423967
362.6,0.0,0.6853201
362.6,119.8,0.662459
364.6,74.8,0.6914452
364.6,194.8,0.7514422
366.6,29.8,0.6648051
366.6,149.8,0.7445624
368.6,104.8,0.6711825
370.6,59.8,0.666943
370.6,179.8,0.8038631
370.6,179.8,0.8038631

