#: table_doi: 10.17182/hepdata.63216.v1/t107
#: name: Table 107
#: description: Efficiency IN PCT in Fig. 08c.

#: data_file: Table107.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Efficiency [PCT]
247.8,29.8,52.7502
247.8,69.8,52.392
247.8,109.8,48.54243
247.8,149.8,52.59866
247.8,189.8,nan
251.8,19.8,55.72846
251.8,59.8,52.09857
251.8,99.8,50.07401
251.8,139.8,51.70859
251.8,179.8,131.5082
254.7,9.8,48.7442
254.7,49.8,52.13997
254.7,89.8,51.61
254.7,129.8,56.41689
254.7,169.8,60.8041
258.7,0.2,51.63396
258.7,39.8,53.80529
258.7,79.8,54.82067
258.7,119.8,54.07589
258.7,159.8,52.5723
258.7,199.8,inf
262.6,29.8,53.91753
262.6,69.8,52.85536
262.6,109.8,53.73363
262.6,149.8,54.34339
262.6,189.8,71.51487
265.6,19.8,48.90473
265.6,59.8,54.12183
265.6,99.8,46.10638
265.6,139.8,55.74584
265.6,179.8,52.88573
269.5,9.8,54.81473
269.5,49.8,52.16933
269.5,89.8,50.35742
269.5,129.8,53.6272
269.5,169.8,53.06725
273.5,0.2,49.77369
273.5,39.8,53.77206
273.5,79.8,55.05704
273.5,119.8,56.41698
273.5,159.8,53.05434
273.5,199.8,62.98611
277.4,29.8,53.03101
277.4,69.8,54.56762
277.4,109.8,53.84573
277.4,149.8,50.64554
277.4,189.8,59.99438
281.4,19.8,56.63804
281.4,59.8,49.38347
281.4,99.8,51.85822
281.4,139.8,51.8941
281.4,179.8,56.82276
281.4,179.8,49.40338
284.3,49.8,50.86278
284.3,89.8,51.39427
284.3,129.8,50.99387
284.3,169.8,54.67762
288.3,0.2,50.7932
288.3,39.8,51.68065
288.3,79.8,54.71207
288.3,119.8,51.50187
288.3,159.8,48.01714
288.3,199.8,62.92219
292.3,29.8,55.74093
292.3,69.8,51.0173
292.3,109.8,52.54861
292.3,149.8,57.60668
292.3,189.8,51.23307
295.2,19.8,51.02683
295.2,59.8,49.27452
295.2,99.8,50.75321
295.2,139.8,54.40222
295.2,179.8,55.77409
299.2,9.8,53.3559
299.2,49.8,54.51927
299.2,89.8,49.08786
299.2,129.8,52.92291
299.2,169.8,57.4494
303.1,0.2,48.58516
303.1,39.8,54.2451
303.1,79.8,52.31093
303.1,119.8,52.69541
303.1,159.8,55.0132
303.1,199.8,52.65441
240.0,209.8,nan
254.7,209.8,nan
269.5,209.8,nan
284.3,209.8,49.80721
299.2,209.8,50.96153
305.1,74.8,51.89096
305.1,194.8,53.97672
307.1,29.8,50.43975
307.1,149.8,56.66763
309.1,104.8,53.40048
311.1,59.8,50.82495
311.1,179.8,50.59793
312.0,14.8,53.66131
312.0,134.8,53.07457
314.0,89.8,50.46251
314.0,209.8,42.83832
316.0,44.8,51.97746
316.0,164.8,53.15964
318.0,0.2,46.25239
318.0,119.8,52.97395
320.0,74.8,52.07466
320.0,194.8,50.73077
321.9,29.8,52.14202
321.9,149.8,55.54833
323.9,104.8,49.86031
324.9,59.8,51.1344
324.9,179.8,58.91513
326.9,14.8,51.01263
326.9,134.8,51.42298
328.9,89.8,51.40199
328.9,209.8,50.15923
330.9,44.8,50.67284
330.9,164.8,54.71531
332.9,0.2,51.75548
332.9,119.8,49.85867
334.8,74.8,49.58807
334.8,194.8,52.97364
336.8,29.8,54.88632
336.8,149.8,50.65674
338.8,104.8,54.72427
340.8,59.8,56.57201
340.8,179.8,48.29496
341.8,14.8,51.32306
341.8,134.8,50.63032
343.8,89.8,50.29358
343.8,89.8,46.99531
345.7,44.8,49.54388
345.7,164.8,55.34461
347.7,0.2,55.48965
347.7,119.8,55.18473
349.7,74.8,51.1548
349.7,194.8,50.52497
351.7,29.8,50.67709
351.7,149.8,50.55141
353.7,104.8,52.45685
354.7,59.8,52.04204
354.7,179.8,53.55046
356.7,14.8,52.51684
356.7,134.8,52.28447
358.6,89.8,51.96287
358.6,209.8,51.62344
360.6,44.8,57.09909
360.6,164.8,55.71816
362.6,0.2,49.40429
362.6,119.8,52.73838
364.6,74.8,48.43395
364.6,194.8,56.19523
366.6,29.8,49.35994
366.6,149.8,47.63161
368.6,104.8,53.94462
370.6,59.8,52.50957
370.6,179.8,49.35888
371.6,14.8,53.63067
371.6,134.8,49.37682

