#: table_doi: 10.17182/hepdata.63216.v1/t99
#: name: Table 99
#: description: Acceptance IN PCT in Fig. 08a.

#: data_file: Table99.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Acceptance [PCT]
240.0,169.8,0.0
243.9,0.2,21.15813
243.9,39.8,21.23098
243.9,79.8,17.31161
243.9,119.8,12.1631
243.9,159.8,2.882038
243.9,199.8,0.0
247.8,29.8,17.46945
247.8,69.8,19.02246
247.8,109.8,14.06768
247.8,149.8,7.054213
247.8,189.8,0.0
251.8,19.8,23.45133
251.8,59.8,17.03801
251.8,99.8,16.50815
251.8,139.8,10.56478
251.8,179.8,0.2005348
254.7,9.8,21.59265
254.7,49.8,20.21753
254.7,89.8,17.98561
254.7,129.8,11.37885
254.7,169.8,4.270696
258.7,0.2,20.64113
258.7,39.8,16.91023
258.7,79.8,18.54349
258.7,119.8,14.76648
258.7,159.8,8.37912
258.7,199.8,0.0
262.6,29.8,19.63016
262.6,69.8,19.35266
262.6,109.8,16.6
262.6,149.8,10.67378
262.6,189.8,0.9240924
265.6,19.8,22.29532
265.6,59.8,20.83054
265.6,99.8,18.64407
265.6,139.8,12.4588
265.6,179.8,3.539209
269.5,9.8,21.9345
269.5,49.8,21.37509
269.5,89.8,19.45551
269.5,129.8,16.04278
269.5,169.8,7.758621
273.5,0.2,22.57077
273.5,39.8,19.61207
273.5,79.8,20.79408
273.5,119.8,17.77634
273.5,159.8,10.68804
273.5,199.8,0.7822686
277.4,29.8,24.80058
277.4,69.8,20.44385
277.4,109.8,19.1689
277.4,149.8,14.04794
277.4,189.8,3.436658
281.4,19.8,22.7991
281.4,59.8,22.40473
281.4,99.8,19.81195
281.4,139.8,16.13988
281.4,179.8,9.425133
281.4,179.8,24.35997
284.3,49.8,23.01754
284.3,89.8,22.8727
284.3,129.8,17.88396
284.3,169.8,12.32418
288.3,0.2,24.56431
288.3,39.8,24.20749
288.3,79.8,20.87989
288.3,119.8,18.60622
288.3,159.8,12.20363
288.3,199.8,5.0
292.3,29.8,22.07885
292.3,69.8,22.26721
292.3,109.8,20.40134
292.3,149.8,17.12559
292.3,189.8,9.41255
295.2,19.8,21.6877
295.2,59.8,23.46595
295.2,99.8,21.5847
295.2,139.8,20.8965
295.2,179.8,13.83479
299.2,9.8,25.41177
299.2,49.8,23.13333
299.2,89.8,24.32963
299.2,129.8,20.64472
299.2,169.8,14.0736
303.1,0.2,24.89895
303.1,39.8,25.12821
303.1,79.8,24.0264
303.1,119.8,20.48951
303.1,159.8,17.18963
303.1,199.8,9.39775
240.0,209.8,0.0
254.7,209.8,0.0
269.5,209.8,0.0
284.3,209.8,0.6802721
299.2,209.8,5.818674
305.1,74.8,23.64729
305.1,194.8,11.90635
307.1,29.8,26.33588
307.1,149.8,18.80286
309.1,104.8,22.44318
311.1,59.8,25.17532
311.1,179.8,15.5914
312.0,14.8,25.02005
312.0,134.8,20.48847
314.0,89.8,21.91126
314.0,209.8,9.945873
316.0,44.8,25.54905
316.0,164.8,15.87302
318.0,0.2,24.41355
318.0,119.8,20.69672
320.0,74.8,24.45037
320.0,194.8,16.00804
321.9,29.8,25.36705
321.9,149.8,19.09514
323.9,104.8,23.35664
324.9,59.8,26.7507
324.9,179.8,17.35941
326.9,14.8,26.25118
326.9,134.8,22.13845
328.9,89.8,25.71239
328.9,209.8,13.94719
330.9,44.8,27.03281
330.9,164.8,21.39439
332.9,0.2,26.50273
332.9,119.8,23.34495
334.8,74.8,26.45579
334.8,194.8,18.08803
336.8,29.8,26.4135
336.8,149.8,21.28542
338.8,104.8,23.81757
340.8,59.8,25.41783
340.8,179.8,20.2474
341.8,14.8,27.45098
341.8,134.8,20.85276
343.8,89.8,24.5757
343.8,89.8,16.08392
345.7,44.8,25.65056
345.7,164.8,21.10215
347.7,0.2,26.27953
347.7,119.8,22.3152
349.7,74.8,23.8193
349.7,194.8,18.17019
351.7,29.8,25.97285
351.7,149.8,24.69051
353.7,104.8,23.88964
354.7,59.8,27.37353
354.7,179.8,21.47563
356.7,14.8,23.60558
356.7,134.8,26.38037
358.6,89.8,26.04982
358.6,209.8,18.53418
360.6,44.8,27.87378
360.6,164.8,23.59551
362.6,0.2,25.89852
362.6,119.8,26.09001
364.6,74.8,25.96419
364.6,194.8,21.86667
366.6,29.8,29.9339
366.6,149.8,25.87904
368.6,104.8,25.70806
370.6,59.8,27.54614
370.6,179.8,21.99454
371.6,14.8,27.1097
371.6,134.8,26.74018

