#: table_doi: 10.17182/hepdata.63216.v1/t112
#: name: Table 112
#: description: Total systematic uncertainty IN PCT on signal yields in Fig. 08b.

#: data_file: Table112.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give total error [PCT]
309.0,135.0,10.78652
311.0,90.0,13.42632
311.0,210.0,13.70926
313.0,45.0,13.7366
313.0,165.0,13.97613
315.0,0.0,18.53607
315.0,120.0,9.311905
317.0,75.0,10.4125
317.0,195.0,11.20089
319.0,30.0,15.3889
319.0,150.0,9.125496
321.0,105.0,12.35023
322.0,60.0,11.99972
322.0,180.0,8.707063
324.0,15.0,14.95337
324.0,135.0,10.17542
326.0,90.0,11.77908
326.0,210.0,9.031569
328.0,45.0,11.64442
328.0,165.0,10.10896
330.0,0.0,17.0346
330.0,120.0,8.139805
332.0,75.0,10.30966
332.0,195.0,15.45076
334.0,30.0,9.01544
334.0,150.0,12.73602
336.0,105.0,17.75827
338.0,60.0,11.88436
338.0,180.0,15.78192
339.0,15.0,13.80542
339.0,135.0,11.79433
341.0,90.0,11.66343
341.0,210.0,0.0
343.0,45.0,12.27856
343.0,165.0,15.52826
345.0,0.0,8.225761
345.0,120.0,15.47798
347.0,75.0,11.72965
347.0,195.0,17.0063
349.0,30.0,8.87939
349.0,150.0,5.819786
351.0,105.0,8.043526
352.0,60.0,12.89546
352.0,180.0,12.1781
354.0,15.0,12.86209
354.0,135.0,14.90777
356.0,90.0,13.11448
356.0,210.0,11.66242
358.0,45.0,9.642215
358.0,165.0,12.78194
360.0,0.0,14.49643
360.0,120.0,11.66754
362.0,75.0,17.22401
362.0,195.0,10.95866
364.0,30.0,12.43949
364.0,150.0,11.05521
366.0,105.0,11.97126
368.0,60.0,9.680939
368.0,180.0,11.55782
368.0,180.0,11.55782

