#: table_doi: 10.17182/hepdata.63216.v1/t93
#: name: Table 93
#: description: Production cross-sections in Fig. 08a.

#: data_file: Table93.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],SIG(NLO) [FB]
314.0,89.8,0.479087
314.0,209.8,0.479087
316.0,44.8,0.465329
316.0,164.8,0.465329
318.0,0.2,0.451626
318.0,119.8,0.451626
320.0,74.8,0.437782
320.0,194.8,0.437782
321.9,29.8,0.42581
321.9,149.8,0.42581
323.9,104.8,0.413634
324.9,59.8,0.407888
324.9,179.8,0.407888
326.9,14.8,0.395888
326.9,134.8,0.395888
328.9,89.8,0.385247
328.9,209.8,0.385247
330.9,44.8,0.373372
330.9,164.8,0.373372
332.9,0.2,0.363891
332.9,119.8,0.363891
334.8,74.8,0.353587
334.8,194.8,0.353587
336.8,29.8,0.343555
336.8,149.8,0.343555
338.8,104.8,0.334011
340.8,59.8,0.324245
340.8,179.8,0.324245
341.8,14.8,0.320095
341.8,134.8,0.320095
343.8,89.8,0.311064
345.7,44.8,0.30265
345.7,164.8,0.30265
347.7,0.2,0.294632
347.7,119.8,0.294632
349.7,74.8,0.286503
349.7,194.8,0.286503
351.7,29.8,0.278206
351.7,149.8,0.278206
353.7,104.8,0.271335
354.7,59.8,0.267479
354.7,179.8,0.267479
356.7,14.8,0.259777
356.7,134.8,0.259777
358.6,89.8,0.253734
358.6,209.8,0.253734
360.6,44.8,0.246527
360.6,164.8,0.246527
362.6,0.2,0.239498
362.6,119.8,0.239498
364.6,74.8,0.233498
364.6,194.8,0.233498
366.6,29.8,0.2272
366.6,149.8,0.2272
368.6,104.8,0.221063
370.6,59.8,0.215399
370.6,179.8,0.215399
371.6,14.8,0.212948
371.6,134.8,0.212948

