#: table_doi: 10.17182/hepdata.63216.v1/t95
#: name: Table 95
#: description: Production cross-sections in Fig. 08c.

#: data_file: Table95.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],SIG(NLO) [FB]
314.0,89.8,1.690317
314.0,209.8,1.690317
316.0,44.8,1.646149
316.0,164.8,1.646149
318.0,0.2,1.593266
318.0,119.8,1.593266
320.0,74.8,1.547702
320.0,194.8,1.547702
321.9,29.8,1.5031
321.9,149.8,1.5031
323.9,104.8,1.455374
324.9,59.8,1.442738
324.9,179.8,1.442738
326.9,14.8,1.401768
326.9,134.8,1.401768
328.9,89.8,1.362331
328.9,209.8,1.362331
330.9,44.8,1.320557
330.9,164.8,1.320557
332.9,0.2,1.283407
332.9,119.8,1.283407
334.8,74.8,1.246661
334.8,194.8,1.246661
336.8,29.8,1.211387
336.8,149.8,1.211387
338.8,104.8,1.178507
340.8,59.8,1.144382
340.8,179.8,1.144382
341.8,14.8,1.128804
341.8,134.8,1.128804
343.8,89.8,1.097004
345.7,44.8,1.067393
345.7,164.8,1.067393
347.7,0.2,1.038365
347.7,119.8,1.038365
349.7,74.8,1.010197
349.7,194.8,1.010197
351.7,29.8,0.981094
351.7,149.8,0.981094
353.7,104.8,0.955289
354.7,59.8,0.942352
354.7,179.8,0.942352
356.7,14.8,0.91595
356.7,134.8,0.91595
358.6,89.8,0.892073
358.6,209.8,0.892073
360.6,44.8,0.867512
360.6,164.8,0.867512
362.6,0.2,0.844461
362.6,119.8,0.844461
364.6,74.8,0.821774
364.6,194.8,0.821774
366.6,29.8,0.799953
366.6,149.8,0.799953
368.6,104.8,0.779423
370.6,59.8,0.758148
370.6,179.8,0.758148
371.6,14.8,0.74806
371.6,134.8,0.74806

