#: table_doi: 10.17182/hepdata.63216.v1/t113
#: name: Table 113
#: description: Total systematic uncertainty IN PCT on signal yields in Fig. 08c.

#: data_file: Table113.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Numbers give total error [PCT]
309.0,15.0,11.92705
309.0,135.0,11.1452
311.0,90.0,15.26458
311.0,210.0,13.65755
313.0,45.0,11.96489
313.0,165.0,12.65091
315.0,0.0,17.94649
315.0,120.0,11.74279
317.0,75.0,9.700171
317.0,195.0,12.81079
319.0,30.0,14.58124
319.0,150.0,9.973947
321.0,105.0,12.10117
322.0,60.0,13.5783
322.0,180.0,9.915296
324.0,15.0,13.64085
324.0,135.0,10.33191
326.0,90.0,12.16357
326.0,210.0,8.381352
328.0,45.0,11.46892
328.0,165.0,9.873303
330.0,0.0,15.74843
330.0,120.0,9.077426
332.0,75.0,10.99952
332.0,195.0,12.2559
334.0,30.0,10.07792
334.0,150.0,13.07509
336.0,105.0,15.8821
338.0,60.0,11.58059
338.0,180.0,14.60144
339.0,15.0,14.38837
339.0,135.0,8.493489
341.0,90.0,11.92033
341.0,210.0,0.0
343.0,45.0,11.33503
343.0,165.0,13.654
345.0,0.0,9.016383
345.0,120.0,13.4153
347.0,75.0,10.74346
347.0,195.0,15.46819
349.0,30.0,10.00504
349.0,150.0,6.748534
351.0,105.0,9.458175
352.0,60.0,13.38896
352.0,180.0,10.91285
354.0,15.0,11.84912
354.0,135.0,12.34176
356.0,90.0,13.66641
356.0,210.0,11.76707
358.0,45.0,8.491732
358.0,165.0,11.51162
360.0,0.0,14.56388
360.0,120.0,13.22374
362.0,75.0,12.10552
362.0,195.0,9.479037
364.0,30.0,12.01326
364.0,150.0,12.56438
366.0,105.0,10.78148
368.0,60.0,12.13678
368.0,180.0,11.53106
368.0,180.0,11.53106

