#: table_doi: 10.17182/hepdata.63216.v1/t101
#: name: Table 101
#: description: Acceptance IN PCT in Fig. 08c.

#: data_file: Table101.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Acceptance [PCT]
240.0,129.8,9.157169
240.0,169.8,0.1675484
243.9,0.2,20.49609
243.9,39.8,20.16483
243.9,79.8,16.86231
243.9,119.8,12.99231
243.9,159.8,2.993457
243.9,199.8,0.0
247.8,29.8,19.58522
247.8,69.8,17.89331
247.8,109.8,14.8512
247.8,149.8,7.077613
247.8,189.8,0.0
251.8,19.8,22.33076
251.8,59.8,19.38454
251.8,99.8,16.3249
251.8,139.8,10.47819
251.8,179.8,0.200645
254.7,9.8,21.49223
254.7,49.8,20.89355
254.7,89.8,17.40955
254.7,129.8,13.13231
254.7,169.8,3.714549
258.7,0.2,21.35387
258.7,39.8,19.9436
258.7,79.8,18.92592
258.7,119.8,15.03726
258.7,159.8,7.277764
258.7,199.8,0.0
262.6,29.8,21.52986
262.6,69.8,20.16035
262.6,109.8,16.71331
262.6,149.8,10.89847
262.6,189.8,0.7367732
265.6,19.8,22.25063
265.6,59.8,20.81792
265.6,99.8,18.79664
265.6,139.8,13.40925
265.6,179.8,4.002856
269.5,9.8,22.36613
269.5,49.8,21.44061
269.5,89.8,19.53614
269.5,129.8,15.21092
269.5,169.8,7.669571
273.5,0.2,22.9181
273.5,39.8,20.53984
273.5,79.8,20.63829
273.5,119.8,17.29787
273.5,159.8,10.62946
273.5,199.8,0.9905057
277.4,29.8,23.70867
277.4,69.8,21.32648
277.4,109.8,19.02189
277.4,149.8,14.79724
277.4,189.8,4.374917
281.4,19.8,23.96614
281.4,59.8,22.15031
281.4,99.8,20.62079
281.4,139.8,15.30326
281.4,179.8,8.989713
281.4,179.8,24.02508
284.3,49.8,22.3584
284.3,89.8,20.64544
284.3,129.8,18.45823
284.3,169.8,12.32663
288.3,0.2,23.7979
288.3,39.8,23.90636
288.3,79.8,21.32465
288.3,119.8,19.602
288.3,159.8,14.23213
288.3,199.8,4.613835
292.3,29.8,23.41913
292.3,69.8,22.15216
292.3,109.8,20.33247
292.3,149.8,15.96757
292.3,189.8,9.024165
295.2,19.8,24.35625
295.2,59.8,23.35772
295.2,99.8,21.31879
295.2,139.8,18.9386
295.2,179.8,12.24517
299.2,9.8,24.72418
299.2,49.8,23.46695
299.2,89.8,22.45918
299.2,129.8,20.5475
299.2,169.8,15.11247
303.1,0.2,25.02825
303.1,39.8,24.35207
303.1,79.8,23.65988
303.1,119.8,20.59806
303.1,159.8,16.92037
303.1,199.8,9.611841
240.0,209.8,0.0
254.7,209.8,0.0
269.5,209.8,0.0
284.3,209.8,1.014735
299.2,209.8,5.601377
305.1,74.8,22.72351
305.1,194.8,11.68166
307.1,29.8,25.36678
307.1,149.8,18.70307
309.1,104.8,22.22093
311.1,59.8,24.88327
311.1,179.8,15.20395
312.0,14.8,24.86642
312.0,134.8,21.06728
314.0,89.8,23.58359
314.0,209.8,9.7269
316.0,44.8,25.39313
316.0,164.8,17.7489
318.0,0.2,25.98002
318.0,119.8,21.66016
320.0,74.8,24.58902
320.0,194.8,15.14462
321.9,29.8,25.78487
321.9,149.8,20.19672
323.9,104.8,23.67589
324.9,59.8,25.68283
324.9,179.8,17.71454
326.9,14.8,26.52038
326.9,134.8,23.04455
328.9,89.8,26.0871
