#: table_doi: 10.17182/hepdata.63216.v1/t106
#: name: Table 106
#: description: Efficiency IN PCT in Fig. 08b.

#: data_file: Table106.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Efficiency [PCT]
248.4,29.8,51.59818
248.4,69.8,53.9265
248.4,109.8,47.87161
248.4,149.8,57.16046
248.4,189.8,nan
252.4,19.8,55.46238
252.4,59.8,51.01393
252.4,99.8,52.32682
252.4,139.8,51.48457
252.4,179.8,145.3272
255.3,9.8,48.37636
255.3,49.8,55.17598
255.3,89.8,51.10113
255.3,129.8,57.97222
255.3,169.8,63.79231
259.2,0.2,51.62007
259.2,39.8,51.3462
259.2,79.8,51.60781
259.2,119.8,54.74016
259.2,159.8,46.74683
259.2,199.8,inf
263.2,29.8,53.86715
263.2,69.8,54.60226
263.2,109.8,52.51857
263.2,149.8,53.06653
263.2,189.8,54.50745
266.1,19.8,47.92681
266.1,59.8,53.004
266.1,99.8,46.27292
266.1,139.8,54.42887
266.1,179.8,48.10406
270.1,9.8,54.64865
270.1,49.8,48.87266
270.1,89.8,50.35607
270.1,129.8,53.82784
270.1,169.8,49.45208
274.0,0.2,50.52118
274.0,39.8,52.29667
274.0,79.8,54.99887
274.0,119.8,56.22808
274.0,159.8,51.72892
274.0,199.8,67.75628
278.0,29.8,55.01076
278.0,69.8,54.45535
278.0,109.8,51.83729
278.0,149.8,50.22127
278.0,189.8,58.24133
281.9,19.8,56.02271
281.9,59.8,50.0971
281.9,99.8,50.5716
281.9,139.8,50.79382
281.9,179.8,55.47364
281.9,179.8,48.26988
284.9,49.8,52.02601
284.9,89.8,50.7493
284.9,129.8,48.15457
284.9,169.8,54.3504
288.8,0.2,50.36531
288.8,39.8,52.57516
288.8,79.8,51.77071
288.8,119.8,51.30578
288.8,159.8,48.21875
288.8,199.8,66.31478
292.8,29.8,53.8181
292.8,69.8,51.27201
292.8,109.8,52.22038
292.8,149.8,55.63268
292.8,189.8,49.67494
295.7,19.8,50.21951
295.7,59.8,48.8807
295.7,99.8,51.89667
295.7,139.8,55.7957
295.7,179.8,55.52117
299.7,9.8,55.11466
299.7,49.8,54.79114
299.7,89.8,48.82706
299.7,129.8,51.42621
299.7,169.8,55.30217
303.6,0.2,48.96325
303.6,39.8,53.89933
303.6,79.8,52.17468
303.6,119.8,51.71105
303.6,159.8,56.24083
303.6,199.8,50.35356
240.6,209.8,nan
255.3,209.8,nan
270.1,209.8,nan
284.9,209.8,51.85017
299.7,209.8,52.13608
305.6,74.8,51.86291
305.6,194.8,52.08552
307.6,29.8,50.79189
307.6,149.8,57.25634
309.5,104.8,55.99774
311.5,59.8,50.98374
311.5,179.8,51.95021
312.5,14.8,54.69658
312.5,134.8,51.35083
314.5,89.8,52.57106
314.5,209.8,44.62028
316.5,44.8,50.86963
316.5,164.8,53.92693
318.4,0.2,47.3304
318.4,119.8,54.77994
320.4,74.8,49.30738
320.4,194.8,50.96387
322.4,29.8,49.60277
322.4,149.8,55.95646
324.4,104.8,50.47017
325.4,59.8,52.70982
325.4,179.8,55.90124
327.4,14.8,50.39228
327.4,134.8,52.2838
329.3,89.8,51.42727
329.3,209.8,46.00635
331.3,44.8,50.92152
331.3,164.8,55.17751
333.3,0.2,52.10171
333.3,119.8,50.76053
335.3,74.8,50.91593
335.3,194.8,50.1143
337.3,29.8,53.24762
337.3,149.8,49.56223
339.2,104.8,52.14594
341.2,59.8,55.68944
341.2,179.8,46.54924
342.2,14.8,52.87374
342.2,134.8,50.58182
344.2,89.8,49.69976
344.2,89.8,46.91215
346.2,44.8,47.6254
346.2,164.8,52.56158
348.2,0.2,57.75284
348.2,119.8,50.80982
350.1,74.8,50.20333
350.1,194.8,52.84545
352.1,29.8,50.97863
352.1,149.8,52.45205
354.1,104.8,52.89605
355.1,59.8,53.77725
355.1,179.8,56.73673
357.1,14.8,53.08572
357.1,134.8,51.62334
359.1,89.8,51.95913
359.1,209.8,52.19174
361.0,44.8,54.29895
361.0,164.8,56.97949
363.0,0.2,48.2797
363.0,119.8,52.21844
365.0,74.8,46.42676
365.0,194.8,55.89024
367.0,29.8,49.67894
367.0,149.8,49.05957
369.0,104.8,51.83142
371.0,59.8,52.9131
371.0,179.8,51.61511
371.9,14.8,47.84232
371.9,134.8,49.24504

