#: table_doi: 10.17182/hepdata.63216.v1/t87
#: name: Table 87
#: description: Number of generated events for Fig. 08a.

#: data_file: Table87.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Number of Generated Events
314.0,89.8,1467.0
314.0,209.8,1478.0
316.0,44.8,1367.0
316.0,164.8,1514.0
318.0,0.2,1153.0
318.0,119.8,1466.0
320.0,74.8,1503.0
320.0,194.8,1495.0
321.9,29.8,1228.0
321.9,149.8,1505.0
323.9,104.8,1432.0
324.9,59.8,1430.0
324.9,179.8,1228.0
326.9,14.8,1061.0
326.9,134.8,1460.0
328.9,89.8,1511.0
328.9,209.8,1479.0
330.9,44.8,1404.0
330.9,164.8,1465.0
332.9,0.2,1100.0
332.9,119.8,1436.0
334.8,74.8,1393.0
334.8,194.8,1456.0
336.8,29.8,1187.0
336.8,149.8,1449.0
338.8,104.8,1186.0
340.8,59.8,1438.0
340.8,179.8,1538.0
341.8,14.8,1124.0
341.8,134.8,1503.0
343.8,89.8,1475.0
345.7,44.8,1347.0
345.7,164.8,1490.0
347.7,0.2,1018.0
347.7,119.8,1436.0
349.7,74.8,1463.0
349.7,194.8,1565.0
351.7,29.8,1107.0
351.7,149.8,1456.0
353.7,104.8,1488.0
354.7,59.8,1445.0
354.7,179.8,1520.0
356.7,14.8,1006.0
356.7,134.8,1468.0
358.6,89.8,1407.0
358.6,209.8,1421.0
360.6,44.8,1333.0
360.6,164.8,1515.0
362.6,0.2,948.0
362.6,119.8,1424.0
364.6,74.8,1454.0
364.6,194.8,1502.0
366.6,29.8,1061.0
366.6,149.8,1424.0
368.6,104.8,1379.0
370.6,59.8,1465.0
370.6,179.8,1466.0
371.6,14.8,950.0
371.6,134.8,1452.0

