#: table_doi: 10.17182/hepdata.63216.v1/t74
#: name: Table 74
#: description: Observed CLs values for Fig. 09a.

#: data_file: Table74.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV],Numbers give observed CL_{S} values
142.5,122.5,1.37500001e-06
162.5,122.5,0.00380049995
182.5,122.5,0.0673287511
212.5,122.5,0.278327852
252.5,122.5,0.632092118
302.5,122.5,-0.474676609
352.5,122.5,-0.858197212
402.5,122.5,-0.676919997
502.5,122.5,-0.935383976
142.5,142.5,9.99999997e-07
162.5,142.5,0.00148924999
182.5,142.5,0.055513002
212.5,142.5,0.147857919
252.5,142.5,0.338936746
302.5,142.5,-0.0418336019
352.5,142.5,-0.0883817524
402.5,142.5,-0.220695749
502.5,142.5,-0.229785994
142.5,162.5,9.99999997e-07
162.5,162.5,0.000119000004
182.5,162.5,0.0170172509
212.5,162.5,0.0219720006
252.5,162.5,0.0604324974
302.5,162.5,0.0316429511
352.5,162.5,0.0538820475
402.5,162.5,0.0233395007
502.5,162.5,0.00673875026
142.5,182.5,9.99999997e-07
162.5,182.5,4.4999997e-06
182.5,182.5,0.000268000003
212.5,182.5,0.000181999989
252.5,182.5,1.04999999e-05
302.5,182.5,6.70000009e-06
352.5,182.5,4.04999992e-06
182.5,212.5,9.99999997e-07
212.5,212.5,1.16666661e-06
252.5,212.5,9.99999997e-07
302.5,212.5,5.85000016e-05
352.5,212.5,0.00171933346
402.5,212.5,0.00541212037
502.5,212.5,0.00237685
122.5,252.5,9.99999997e-07
142.5,252.5,9.99999997e-07
162.5,252.5,9.99999997e-07
182.5,252.5,9.99999997e-07
212.5,252.5,9.99999997e-07
252.5,252.5,0.0148261255
302.5,252.5,0.00630355021
352.5,252.5,0.0109619498
402.5,252.5,0.0391891263
452.5,252.5,0.0415482894
502.5,252.5,0.0292945001
122.5,302.5,9.99999997e-07
142.5,302.5,9.99999997e-07
162.5,302.5,9.99999997e-07
182.5,302.5,9.99999997e-07
212.5,302.5,0.0192626659
252.5,302.5,0.172273979
302.5,302.5,0.146324798
352.5,302.5,0.0950473025
402.5,302.5,0.0224086996
452.5,302.5,0.0190442
502.5,302.5,0.0332642011
142.5,352.5,2.65000017e-06
162.5,352.5,2.15e-06
182.5,352.5,4.46500017e-05
212.5,352.5,0.00337513327
252.5,352.5,0.120334253
302.5,352.5,0.143092498
352.5,352.5,0.220035702
402.5,352.5,0.162782595
452.5,352.5,0.063840501
502.5,352.5,0.0476655997
162.5,402.5,1.05000004e-06
212.5,402.5,0.00250337995
252.5,402.5,0.222915173
302.5,402.5,0.122815803
352.5,402.5,0.186647013
402.5,402.5,0.205045909
452.5,402.5,0.221734196
502.5,402.5,0.151135191
142.5,452.5,9.99999997e-07
212.5,452.5,0.00621100003
252.5,452.5,0.0777669474
302.5,452.5,0.123681799
402.5,452.5,0.317900389
452.5,452.5,0.253672689
502.5,452.5,0.266677588
162.5,502.5,9.99999997e-07
212.5,502.5,0.020095
252.5,502.5,0.089798376
302.5,502.5,0.0929553956
402.5,502.5,0.107601702
452.5,502.5,0.211885393
502.5,502.5,0.530717492

