#: table_doi: 10.17182/hepdata.63216.v1/t32
#: name: Table 32
#: description: Observed 95% CL exclusion contour for pMSSM w/ right-handed sleptons, M1=250 GeV.

#: data_file: Table32.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
MU [GEV],M2 [GEV]
273.5,267.5
275.9,257.5
277.5,250.2
278.1,247.5
280.8,237.5
283.5,227.5
286.1,217.5
287.5,214.2
290.5,207.5
296.7,197.5
297.5,196.2
303.2,187.5
306.0,177.5
306.8,167.5
307.5,165.7
311.6,157.5
317.5,150.2
319.4,147.5
325.8,137.5
327.5,134.4
332.6,127.5
337.5,121.3
342.0,117.5
347.5,111.3
351.3,107.5
351.3,97.5
347.5,97.2
337.5,96.7
327.5,96.3
317.5,95.9
307.5,95.3
297.5,94.3
287.5,93.2
277.5,92.4
267.5,91.9
257.5,91.5
247.5,91.3
237.5,91.2
227.5,91.1
217.5,91.0
207.5,91.0
197.5,91.0
187.5,91.1
177.5,91.1
167.5,91.0
157.5,91.0
147.5,91.0
137.5,91.0
127.5,91.0
117.5,91.0
107.5,91.0
97.5,91.0
91.0,97.5
91.0,107.5
91.0,117.5
91.0,127.5
91.0,137.5
91.0,147.5
91.0,157.5
91.0,167.5
91.0,177.5
91.0,187.5
91.0,197.5
91.1,207.5
91.3,217.5
91.5,227.5
91.8,237.5
92.3,247.5
92.8,257.5
93.3,267.5
93.8,277.5
94.6,287.5
95.6,297.5
96.6,307.5
97.2,317.5
97.5,320.7
107.5,320.7
117.5,319.9
119.7,317.5
125.4,307.5
127.5,304.5
130.2,297.5
136.4,287.5
137.5,285.9
147.5,279.1
157.5,280.7
167.5,287.1
168.1,287.5
177.5,294.2
183.6,297.5
187.5,301.3
195.5,307.5
197.5,312.1
207.5,316.9
217.5,313.6
227.5,309.0
230.3,307.5
237.5,304.9
247.5,299.7
249.9,297.5
257.5,291.6
261.3,287.5
267.5,280.3
269.3,277.5
273.5,267.5

